limit,epsilon,minpts,sf_time,df_time,ddb_time,result_time
20k,300m,12,SF:0.179s,DF:0.368s,DDB:36.513s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 30000.179s	DF : 24094.868s	DDF : 23745.513s]
20k,300m,15,SF:0.130s,DF:0.346s,DDB:36.285s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 30000.130s	DF : 23154.346s	DDF : 22749.285s]
20k,300m,18,SF:0.125s,DF:0.347s,DDB:36.982s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 30000.125s	DF : 22338.347s	DDF : 21867.982s]
20k,300m,21,SF:0.143s,DF:0.512s,DDB:35.645s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 30000.143s	DF : 21476.012s	DDF : 21197.645s]
20k,400m,9,SF:0.128s,DF:0.389s,DDB:46.078s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 30000.128s	DF : 26440.889s	DDF : 26039.578s]
20k,400m,12,SF:0.130s,DF:0.380s,DDB:45.746s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 30000.130s	DF : 25488.380s	DDF : 25058.246s]
20k,400m,15,SF:0.190s,DF:0.406s,DDB:45.474s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 30000.190s	DF : 24580.906s	DDF : 24205.974s]
20k,400m,18,SF:0.135s,DF:0.367s,DDB:45.427s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 30000.135s	DF : 23778.367s	DDF : 23481.427s]
20k,400m,21,SF:0.124s,DF:0.361s,DDB:44.598s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 30000.124s	DF : 23070.361s	DDF : 22771.098s]
20k,500m,9,SF:0.177s,DF:0.390s,DDB:58.131s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 30000.177s	DF : 27240.390s	DDF : 26888.631s]
20k,500m,12,SF:0.131s,DF:0.393s,DDB:59.688s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 30000.131s	DF : 26359.893s	DDF : 25990.188s]
20k,500m,15,SF:0.132s,DF:0.418s,DDB:54.931s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 30000.132s	DF : 25647.418s	DDF : 25242.931s]
20k,500m,18,SF:0.128s,DF:0.365s,DDB:54.770s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 30000.128s	DF : 24969.365s	DDF : 24635.270s]
20k,500m,21,SF:0.131s,DF:0.384s,DDB:54.323s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 30000.131s	DF : 24297.384s	DDF : 23980.823s]
30k,100m,9,SF:0.264s,DF:0.765s,DDB:419.139s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 45000.264s	DF : 32375.265s	DDF : 32121.639s]
30k,100m,12,SF:0.270s,DF:0.770s,DDB:419.835s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 45000.270s	DF : 30449.270s	DDF : 30257.835s]
30k,100m,15,SF:0.270s,DF:0.708s,DDB:421.462s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 45000.270s	DF : 29034.708s	DDF : 28852.462s]
30k,100m,18,SF:0.260s,DF:0.727s,DDB:427.178s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 45000.260s	DF : 27852.727s	DDF : 27572.678s]
30k,100m,21,SF:0.269s,DF:0.765s,DDB:434.726s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 45000.269s	DF : 26277.765s	DDF : 26180.726s]
30k,200m,9,SF:0.277s,DF:0.801s,DDB:337.658s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 45000.277s	DF : 36075.801s	DDF : 35682.158s]
30k,200m,12,SF:0.273s,DF:0.803s,DDB:335.355s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 45000.273s	DF : 34347.803s	DDF : 34146.855s]
30k,200m,15,SF:0.267s,DF:0.767s,DDB:330.573s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 45000.267s	DF : 33057.767s	DDF : 32846.073s]
30k,200m,18,SF:0.277s,DF:0.804s,DDB:335.653s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 45000.277s	DF : 31809.804s	DDF : 31736.653s]
30k,200m,21,SF:0.301s,DF:0.740s,DDB:338.343s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 45000.301s	DF : 30633.740s	DDF : 30662.343s]
